run_id,rps,injected_latency_ms,retry_policy,breaker_enabled,pool_size,admission_control_enabled,throughput_rps,error_rate,p95_latency_ms,p99_latency_ms,amplification_factor,retry_rate,retry_success_rate,probe_success_rate,admission_rejection_rate,a_offered_count,a_timeout_count,a_upstream_error_count,b_received_count,b_success_count,b_pool_active_max,b_pool_timeout_count,b_query_timeout_count,b_error_count,b_admission_rejected_count,b_admission_rejected_latency_p95_ms,saturated,saturation_reasons
20260729T121849Z_rps12_lat400_none,12,400,none,False,10,False,12.011111111111111,0,806.267096,807.1649464,0.9990627928772259,0.0,0.0,,0.0,1067,0,0,1066,1066,10,0,0,0,0,,True,pool_active=10 (max=10)
20260729T122109Z_rps14_lat400_none,14,400,none,False,10,False,14,0.9992063492063492,2004.60614385,2006.97727805,1.0,0.0,0.0,,0.0,1244,1227,16,1244,1108,10,136,0,0,0,,True,error_rate=99.92%; pool_timeouts=136; pool_active=10 (max=10)
20260729T122330Z_rps16_lat400_none,16,400,none,False,10,False,16,1,2004.6570485,2006.09187709,1.0014094432699083,0.0,,,0.0,1419,1386,33,1421,1106,10,315,0,0,0,,True,error_rate=100.00%; pool_timeouts=315; pool_active=10 (max=10)
20260729T122552Z_rps18_lat400_none,18,400,none,False,10,False,18,0.9993827160493827,2004.60490145,2005.72328424,1.0006261740763933,0.0,0.0,,0.0,1597,1544,52,1598,1107,10,491,0,0,0,,True,error_rate=99.94%; pool_timeouts=491; pool_active=10 (max=10)
20260729T122813Z_rps12_lat400_none_admission-on,12,400,none,False,10,True,12.011111111111111,0,806.327397,806.9581356,1.0,0.0,0.0,,0.0,1066,0,0,1066,1066,10,0,0,0,0,,True,pool_active=10 (max=10)
20260729T123041Z_rps14_lat400_none_admission-on,14,400,none,False,10,True,14,0.16666666666666666,806.30968475,807.58170478,0.83266291230893,0.0,0.0,,0.16733708769107,1243,0,208,1035,1035,10,0,0,0,208,0.023,True,error_rate=16.67%; pool_active=10 (max=10)
20260729T123302Z_rps16_lat400_none_admission-on,16,400,none,False,10,True,16,0.2298611111111111,806.14182425,806.83918611,0.7682584269662921,0.0,0.0,,0.23174157303370788,1424,0,330,1094,1094,10,0,0,0,330,0.09,True,error_rate=22.99%; pool_active=10 (max=10)
20260729T123522Z_rps18_lat400_none_admission-on,18,400,none,False,10,True,18.011111111111113,0.33312769895126465,806.146526,806.8360934,0.6656230432060113,0.0,0.0,,0.33479349186483104,1597,0,535,1063,1063,10,0,0,0,535,0.045,True,error_rate=33.31%; pool_active=10 (max=10)
