run_id,rps,breaker_enabled,injected_latency_ms,error_rate,p95_latency_ms,p99_latency_ms,amplification_factor,a_offered_count,a_success_count,a_short_circuit_count,open_state_latency_p95_ms,b_received_count,b_success_count,breaker_open_count,breaker_open_seconds,breaker_probe_count,probe_success_rate
20260728T133119Z_rps12_lat400_none,12,False,400,0,806.5914970499999,807.4676449,1.0,1065,1065,0,,1065,1065,0,0.0,0,
20260728T133339Z_rps14_lat400_none,14,False,400,1,2004.4326631,2005.86081311,1.001610305958132,1242,0,0,,1244,1107,0,0.0,0,
20260728T133601Z_rps16_lat400_none,16,False,400,0.9993055555555556,2004.48283615,2006.3500068,1.0007037297677692,1421,1,0,,1422,1108,0,0.0,0,
20260728T133822Z_rps18_lat400_none,18,False,400,0.9993827160493827,2004.599019,2006.03663671,1.0,1596,1,0,,1596,1106,0,0.0,0,
20260728T134043Z_rps12_lat400_none_breaker-on,12,True,400,0,806.1372786,806.7596196000001,1.0,1064,1064,0,,1064,1064,0,0.0,0,
20260728T134309Z_rps14_lat400_none_breaker-on,14,True,400,0.3852263701350278,2002.679987,2004.93203768,0.7599029911075182,1237,752,296,0.026,940,937,5,21.592,5,1.0
20260728T134531Z_rps16_lat400_none_breaker-on,16,True,400,0.5886031966643502,2003.2330729,2004.19491862,0.6394366197183099,1420,573,513,0.023,908,907,8,32.936,8,1.0
20260728T134751Z_rps18_lat400_none_breaker-on,18,True,400,0.6961087090796788,2003.1476876000002,2003.945424,0.5735294117647058,1564,483,669,0.125,897,855,9,37.882,10,1.0
